Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Kalium,Klorid,Kalcium,Fluorid,Magnesium,Natrium,Vitamin B12,Vitamin B6,Vitamin C,Riboflavin,Niacin,Pantotensyra,Biotin,Krom,Fiber,Folsyra,Vitamin D,Vitamin E,Selen,Zink,Fosfor,Koppar,Järn,Mangan,Varav polyoler,Vitamin A,Tiamin,Citronsyra,url
Energidryck Blue edition Blåbär 25cl Red Bull,"17,90 kr","0.25L 71,60 kr/l exkl pant",46 kcal,195 kJ,0 g,0 g,11 g,11 g,0 g,0.1 g,,,,,,,2 µg,2 mg,,,8 mg,2 mg,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-blue-edition-bl%C3%A5b%C3%A4r-25cl-red-bull/1441750
Smoothie Energise 300ml Innocent,"33,90 kr","0.3L 113,00 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-energise-300ml-innocent/2057765
Vatten Kolsyrat Mango Grapefrukt 50cl Ramlösa,"15,90 kr","0.5L 31,80 kr/l exkl pant",,,,,,,,,4 mg,39 mg,100 mg,0.2 mg,11.5 mg,16 mg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrat-mango-grapefrukt-50cl-raml%C3%B6sa/2125528
Fruktdryck Apelsin 50cl MER,"16,90 kr","0.5L 33,80 kr/l exkl pant",44 kcal,187 kJ,0 g,0 g,10.6 g,10.6 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-apelsin-50cl-mer/1129494
Tomatjuice 1l Kiviks,"38,90 kr","1L 38,90 kr/l",25 kcal,100 kJ,0.1 g,0 g,3.7 g,3.7 g,1 g,0.3 g,,,,,,,,,,,,,,,1.2 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tomatjuice-1l-kiviks/1421975
Smoothie Kraft Tropiska frukter 300ml Brämhults,"36,90 kr","0.3L 123,00 kr/l exkl pant",54 kcal,230 kJ,0 g,0 g,12 g,11 g,0.7 g,0.01 g,,,,,,,,,80 mg,,,,,,1 g,,2.5 µg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-kraft-tropiska-frukter-300ml-br%C3%A4mhults/2063054
Energidryck Blue Raspberry 33cl Nocco,"26,90 kr","0.33L 81,52 kr/l exkl pant",5 kcal,21 kJ,0 g,0 g,0 g,0 g,0.9 g,0 g,,,,,,,0.76 µg,0.42 mg,,,3.9 mg,,15 µg,,0 g,30 µg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-blue-raspberry-33cl-nocco/2140200
Fruktdryck Sunny Orange Sockerfri 1000ml Lowcaly,"29,90 kr","1L 29,90 kr/l exkl pant",6 kcal,24 kJ,0 g,0 g,0.5 g,0.5 g,0 g,0.07 g,,,,,,,0.25 µg,0.14 mg,30 mg,,1.6 mg,0.6 mg,5 µg,,,,0.5 µg,,,,,,,,,80 µg,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-sunny-orange-sockerfri-1000ml-lowcaly/2128866
Energidryck Sunny Soda 33cl Nocco,"26,90 kr","0.33L 81,52 kr/l exkl pant",4 kcal,15 kJ,0 g,0 g,0 g,0 g,0.9 g,0 g,,,,,,,0.76 µg,0.42 mg,,,3.9 mg,,15 µg,,0 g,30 µg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-sunny-soda-33cl-nocco/2073780
"Öl 3,5% 33cl 6-p Heineken","74,00 kr","1.98L 37,37 kr/l exkl pant",29 kcal,122 kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-3-5-33cl-6-p-heineken/1397722
San Citro B 33cl Nocco,"26,90 kr","0.33L 81,52 kr/l exkl pant",5 kcal,20 kJ,0 g,0 g,0 g,0 g,0.9 g,0 g,,,,,,,0.76 µg,0.42 mg,,,3.9 mg,,15 µg,,0 g,30 µg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/san-citro-b-33cl-nocco/2134009
"Öl Lager 3,5% 33cl Heineken","15,90 kr","0.33L 48,18 kr/l exkl pant",45 kcal,190 kJ,0.5 g,0.5 g,3.9 g,0.5 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-lager-3-5-33cl-heineken/1397578
Snabbkaffe Refill Lyx Mellanrost 200g Nescafé,"116,00 kr","0.2kg 580,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/snabbkaffe-refill-lyx-mellanrost-200g-nescaf%C3%A9/1299169
Original Snabbkaffe Refill 200g Nescafé,"88,00 kr","0.2kg 440,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/original-snabbkaffe-refill-200g-nescaf%C3%A9/1390869
Smoothie Vitamin Blåbär Hallon 850ml Brämhults,"62,00 kr","0.85L 72,94 kr/l exkl pant",54 kcal,226 kJ,0 g,0 g,12 g,11 g,0.6 g,0.01 g,,,,,,,,,85 mg,,,,,,1 g,,,1.8 mg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-vitamin-bl%C3%A5b%C3%A4r-hallon-850ml-br%C3%A4mhults/2062854
Ice Tea Peach & Love 1l Fun Light,"38,90 kr","10L 3,89 kr/l exkl pant",1 kcal,3 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ice-tea-peach-love-1l-fun-light/2079286
Läsk Pepsi Max 50cl,"18,90 kr","0.5L 37,80 kr/l exkl pant",1 kcal,2 kJ,0 g,0 g,0 g,0 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-pepsi-max-50cl/1001378
Juice Apelsin Ananas Ingefära Gurkmeja 850ml Brämhults,"64,00 kr","0.85L 75,29 kr/l exkl pant",41 kcal,173 kJ,0 g,0 g,9.3 g,8.9 g,0.5 g,0 g,,,,,,,,,30 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-apelsin-ananas-ingef%C3%A4ra-gurkmeja-850ml-br%C3%A4mhults/2062832
Örtte Kvällsro 25-p Friggs,"27,90 kr","25 per frp 1,12 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6rtte-kv%C3%A4llsro-25-p-friggs/1005606
Shot Ginger 450ml God Morgon®,"52,00 kr","0.45L 115,56 kr/l",41 kcal,173 kJ,0.5 g,0 g,9.6 g,8.8 g,0.2 g,0.01 g,,,,,,,,,40 mg,,,,,,0 g,,0.7 µg,2.5 mg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/shot-ginger-450ml-god-morgon/2101424
Fruktdryck Svartvinbär 1l Proviva,"43,90 kr","1L 43,90 kr/l",46 kcal,192 kJ,0.1 g,0 g,10.6 g,9.9 g,0.1 g,0.03 g,,,,,,,,,35 mg,,,,,,0.5 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-svartvinb%C3%A4r-1l-proviva/2038975
"Läsk Coca-Cola Light 1,5l","27,90 kr","1.5L 18,60 kr/l exkl pant",0.4 kcal,1.5 kJ,0 g,0 g,0 g,0 g,0 g,0.04 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-coca-cola-light-1-5l/1128698
Fruktdryck Apelsin 3-p 60cl ICA,"13,90 kr","0.6L 23,17 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-apelsin-3-p-60cl-ica/2009988
"Öl 3,5% 50cl Norrlands Guld","18,90 kr","0.5L 37,80 kr/l exkl pant",33 kcal,137 kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-3-5-50cl-norrlands-guld/1397566
Energidryck Sockerfri 25cl Red Bull,"17,90 kr","0.25L 71,60 kr/l exkl pant",3 kcal,13 kJ,0 g,0 g,0 g,0 g,0 g,0.1 g,,,,,,,2 µg,2 mg,,,8 mg,2 mg,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-sockerfri-25cl-red-bull/1400368
Rooibos African spice 17-p KRAV Yogi Tea,"46,90 kr","17 per frp 2,76 kr/st",0.5 kcal,2 kJ,0.1 g,0.1 g,0.1 g,0.1 g,0.1 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/rooibos-african-spice-17-p-krav-yogi-tea/1432088
Apelsinjuice Nypressad 850ml Brämhults,"60,00 kr","0.85L 70,59 kr/l exkl pant",43 kcal,182 kJ,0 g,0 g,9 g,9 g,0.7 g,0 g,,,,,,,,,45 mg,,,,,,0.7 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/apelsinjuice-nypressad-850ml-br%C3%A4mhults/2062845
"Öl 3,5% 50cl 6-p Burgenfels","82,00 kr","3L 27,33 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-3-5-50cl-6-p-burgenfels/1425844
Blandsaft Jordgubb Högkoncentrerat 1l ICA,"47,90 kr","8L 5,99 kr/l exkl pant",25 kcal,106 kJ,0 g,0 g,6.2 g,6.2 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/blandsaft-jordgubb-h%C3%B6gkoncentrerat-1l-ica/1521370
Chokladdryckspulver Original 450g O'boy,"42,90 kr","0.45kg 95,33 kr/kg",379 kcal,1605 kJ,2.6 g,1.2 g,82 g,80 g,3.9 g,0.48 g,,,,,,,,,,,,,,,5.7 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladdryckspulver-original-450g-o-boy/2053708
Smoothie Berry Antioxidant 300ml Innocent,"33,90 kr","0.3L 113,00 kr/l",197 kcal,47 kJ,0.5 g,0.1 g,11 g,9.1 g,0.5 g,0.01 g,,,,,,,,0.36 mg,15 mg,0.38 mg,4 mg,,,,1.3 g,,,3.4 mg,,,,,,,,,0.32 mg,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-berry-antioxidant-300ml-innocent/2101426
Rooibos te Blåbär 20-p Friggs,"27,90 kr","20 per frp 1,40 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/rooibos-te-bl%C3%A5b%C3%A4r-20-p-friggs/1323030
Fruktdryck Mango 1l Rubicon,"32,90 kr","1L 32,90 kr/l",61 kcal,258 kJ,0.5 g,0.5 g,13 g,13 g,0.5 g,0.01 g,,,,,,,,,30 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-mango-1l-rubicon/2025688
Juice Jordgubb Lime 850ml Brämhults,"54,00 kr","0.85L 63,53 kr/l exkl pant",40 kcal,167 kJ,0 g,0 g,9.3 g,9.3 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-jordgubb-lime-850ml-br%C3%A4mhults/2062831
Vatten Kolsyrad Naturell 150cl ICA,"11,90 kr","1.5L 7,93 kr/l exkl pant",,,,,,,,,5 mg,49 mg,65 mg,1.3 mg,15 mg,21 mg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrad-naturell-150cl-ica/2023843
Bryggkaffe Mollbergs blandning 450g Zoegas,"113,00 kr","0.45kg 251,11 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-mollbergs-blandning-450g-zoegas/1499277
Kombucha Äpple 330ml Humm,"31,90 kr","0.33L 96,67 kr/l exkl pant",18 kcal,75 kJ,0 g,0 g,5 g,3 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kombucha-%C3%A4pple-330ml-humm/2118391
Energidryck Summer Edition Aprikos och jordgubbssmak 25cl Red Bull,"17,90 kr","0.25L 71,60 kr/l exkl pant",45 kcal,191 kJ,0 g,0 g,11 g,11 g,0 g,0.1 g,,,,,,,2 µg,2 mg,,,8 mg,2 mg,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-summer-edition-aprikos-och-jordgubbssmak-25cl-red-bull/2094099
Läsk Mixers Indian Tonic 50cl Schweppes,"18,90 kr","0.5L 37,80 kr/l exkl pant",19 kcal,82 kJ,0 g,0 g,4.4 g,4.4 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-mixers-indian-tonic-50cl-schweppes/2149406
Energidryck Caribbean 33cl Nocco,"26,90 kr","0.33L 81,52 kr/l exkl pant",4 kcal,15 kJ,0 g,0 g,0 g,0 g,0.9 g,0 g,,,,,,,0.8 µg,0.42 mg,,,3.9 mg,,15 µg,,0 g,30 µg,1.5 µg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-caribbean-33cl-nocco/1531729
"Energidryck White peach 35,5cl Celsius","27,90 kr","0.355L 78,59 kr/l exkl pant",1 kcal,4 kJ,0 g,0 g,0 g,0 g,0 g,0.08 g,,,,,,,1.7 µg,0.6 mg,17 mg,0.5 mg,5.6 mg,2.8 mg,85 µg,14 µg,0.5 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-white-peach-35-5cl-celsius/2031078
Läsk Zero 50cl Trocadero,"18,90 kr","0.5L 37,80 kr/l exkl pant",2 kcal,7 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-zero-50cl-trocadero/2024826
Energidryck Norrland 33cl Latitude 65,"24,90 kr","0.33L 75,45 kr/l exkl pant",1 kcal,4 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,0.4 mg,,,1.2 mg,,15.2 µg,,,151.5 µg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-norrland-33cl-latitude-65/2110559
Sportdryck Mountain Blast 50cl Powerade,"25,90 kr","0.5L 51,80 kr/l exkl pant",1 kcal,6 kJ,0 g,0 g,0 g,0 g,0 g,0.13 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sportdryck-mountain-blast-50cl-powerade/2131498
Snabbkaffe 200g ICA Basic,"64,00 kr","0.2kg 320,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/snabbkaffe-200g-ica-basic/1411264
Earl grey te 200g Twinings,"74,00 kr","0.2kg 370,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/earl-grey-te-200g-twinings/1305890
Lättdryck Björnbär & hallon Koncentrat 2dl BOB,"11,90 kr","1L 11,90 kr/l drickklar",30 kcal,110 kJ,0 g,0 g,6.5 g,6.4 g,0 g,0 g,,,,,,,,,12 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4ttdryck-bj%C3%B6rnb%C3%A4r-hallon-koncentrat-2dl-bob/1128041
Premium Bryggkaffe 450g Lindvalls,"94,00 kr","0.45kg 208,89 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/premium-bryggkaffe-450g-lindvalls/1518315
Läskedryck Cherry Zero Sugar 50cl Coca-Cola,"19,90 kr","0.5L 39,80 kr/l exkl pant",0.4 kcal,1.5 kJ,0 g,0 g,0 g,0 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4skedryck-cherry-zero-sugar-50cl-coca-cola/2150777
Läsk Coca-Cola 33cl,"13,90 kr","0.33L 42,12 kr/l exkl pant",42 kcal,180 kJ,0 g,0 g,10.6 g,10.6 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-coca-cola-33cl/2037218
Lättdryck Lingon & tranbär Koncentrat 2dl BOB,"11,90 kr","1L 11,90 kr/l drickklar",30 kcal,120 kJ,0 g,0 g,6.7 g,6.6 g,0 g,0 g,,,,,,,,,12 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4ttdryck-lingon-tranb%C3%A4r-koncentrat-2dl-bob/1300059
Vätskeersättning Apelsinsmak Brustablett 90g 20-p Resorb,"70,00 kr","20 per frp 3,50 kr/st",,,,,6.4 g,6.2 g,,,170 mg,190 mg,,,,180 mg,,,,,,,,,,,,,,,,,,,,,,1.6 g,https://handlaprivatkund.ica.se/stores/1004181/products/v%C3%A4tskeers%C3%A4ttning-apelsinsmak-brustablett-90g-20-p-resorb/1388708
Örtte Lakritstäppa 17-Pack Arvid Nordquist,"39,90 kr","17 per frp 2,35 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6rtte-lakritst%C3%A4ppa-17-pack-arvid-nordquist/2151466
Smoothie Hallon Jordgubb & blåbär 1l Bravo,"49,90 kr","1L 49,90 kr/l",50 kcal,200 kJ,0 g,0 g,10 g,9.9 g,0.6 g,0 g,,,,,,,,,,,,,,,0.9 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-hallon-jordgubb-bl%C3%A5b%C3%A4r-1l-bravo/2000622
Fruktdryck Guanabana & ananas 50cl Festis,"17,90 kr","0.5L 35,80 kr/l exkl pant",30 kcal,127 kJ,0 g,0 g,7.1 g,7.1 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-guanabana-ananas-50cl-festis/1467531
Energidryck Lilac Edition 25cl Red Bull,"17,90 kr","0.25L 71,60 kr/l exkl pant",45 kcal,192 kJ,0 g,0 g,11 g,11 g,0 g,0.1 g,,,,,,,2 µg,2 mg,,,8 mg,2 mg,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-lilac-edition-25cl-red-bull/2155249
Vatten Kolsyrad Naturell 50cl ICA,"10,90 kr","0.5L 21,80 kr/l exkl pant",,,,,,,,,5 mg,49 mg,65 mg,1.3 mg,15 mg,21 mg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrad-naturell-50cl-ica/2023851
Energidryck Ultra 50cl Monster Energy,"21,90 kr","0.5L 43,80 kr/l exkl pant",2 kcal,10 kJ,0 g,0 g,0.9 g,0 g,0 g,0.2 g,,,,,,,2.5 µg,0.8 mg,,,8.5 mg,4.2 mg,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-ultra-50cl-monster-energy/1501180
"Shot Ingefära & gurkmeja 0,5l Rynkeby","58,00 kr","0.5L 116,00 kr/l",70 kcal,297 kJ,0.5 g,0 g,12 g,12 g,0.7 g,0 g,,,,,,,,,40 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/shot-ingef%C3%A4ra-gurkmeja-0-5l-rynkeby/2004092
Fruktdryck Äpple 1000 ml Bravo,"26,90 kr","1L 26,90 kr/l",32 kcal,135 kJ,0 g,0 g,7.7 g,7.3 g,0 g,0 g,,,,,,,,,12 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-%C3%A4pple-1000-ml-bravo/2151621
Läsk Cola 150cl ICA,"19,90 kr","1.5L 13,27 kr/l exkl pant",0 kcal,0 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-cola-150cl-ica/1467271
Aloe vera dryck Mango 50cl Nobe,"26,90 kr","0.5L 53,80 kr/l exkl pant",33 kcal,136 kJ,0 g,0 g,8 g,7.5 g,0 g,0.02 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/aloe-vera-dryck-mango-50cl-nobe/1463717
Energidryck Summer Edition 25cl Red Bull,"17,90 kr","0.25L 71,60 kr/l exkl pant",45 kcal,191 kJ,0 g,0 g,11 g,11 g,0 g,0.1 g,,,,,,,2 µg,2 mg,,,8 mg,2 mg,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-summer-edition-25cl-red-bull/2110569
Söderblom te 20-p ICA,"17,90 kr","20 per frp 0,90 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/s%C3%B6derblom-te-20-p-ica/1455496
"Öl 3,5% 50cl 6-p Mariestads","98,00 kr","3L 32,67 kr/l exkl pant",37 kcal,154 kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-3-5-50cl-6-p-mariestads/1477598
Fruktdryck Hallon Granatäpple 1l Proviva,"43,90 kr","1L 43,90 kr/l",39 kcal,166 kJ,0.2 g,0 g,9.1 g,8.4 g,0.4 g,0.03 g,,,,,,,,,35 mg,,,,,,0.5 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-hallon-granat%C3%A4pple-1l-proviva/2038954
Bryggkaffe Hazienda 450g KRAV Zoegas,"125,00 kr","0.45kg 277,78 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-hazienda-450g-krav-zoegas/1499290
Fruktdryck Hallon Björnbär Utan tillsatt socker 1l ProViva,"44,90 kr","1L 44,90 kr/l",22 kcal,92 kJ,0.1 g,0 g,5.1 g,4.2 g,0.2 g,0.03 g,,,,,,,,,35 mg,,,,,,0.5 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-hallon-bj%C3%B6rnb%C3%A4r-utan-tillsatt-socker-1l-proviva/1447544
Lightdryck Citron lime Sockerfri 80cl Zeroh!,"38,90 kr","8L 4,86 kr/l exkl pant",0.8 kcal,3.4 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lightdryck-citron-lime-sockerfri-80cl-zeroh/2017083
Juice Apelsin 1l God Morgon®,"43,90 kr","1L 43,90 kr/l",43 kcal,183 kJ,0.5 g,0 g,8.8 g,8.8 g,0.7 g,0 g,,,,,,,,,20 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-apelsin-1l-god-morgon/1201853
Läsk Tonic Granskott Ekologisk 20cl Ekobryggeriet,"22,90 kr","0.2L 114,50 kr/l",38 kcal,161 kJ,0.5 g,0.5 g,9 g,9 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-tonic-granskott-ekologisk-20cl-ekobryggeriet/2010742
Snabbkaffe Ice Coffee Frappe 112 Gram Nescafe,"36,90 kr","0.112kg 329,46 kr/kg",370 kcal,1572 kJ,0.5 g,0.1 g,90.1 g,89.7 g,0.7 g,0.48 g,,,,,,,,,,,,,,,3.3 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/snabbkaffe-ice-coffee-frappe-112-gram-nescafe/2151421
"Öl 2,8% 50cl Norrlands Guld","10,90 kr","0.5L 21,80 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-2-8-50cl-norrlands-guld/1397556
"Energidryck Sockerfri 47,3cl Red Bull","30,90 kr","0.473L 65,33 kr/l exkl pant",3 kcal,13 kJ,0 g,0 g,0 g,0 g,0 g,0.1 g,,,,,,,2 µg,2 mg,,,8 mg,2 mg,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-sockerfri-47-3cl-red-bull/1422042
Dryck Prepare 50cl Vitamin Well,"26,90 kr","0.5L 53,80 kr/l exkl pant",16 kcal,66 kJ,0 g,0 g,3.9 g,3.9 g,0 g,0.03 g,,,,,11.3 mg,,0.25 µg,,,,1.6 mg,0.48 mg,5 µg,,0 g,40 µg,1.5 µg,1.4 mg,5 µg,0.9 mg,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dryck-prepare-50cl-vitamin-well/2110667
Energidryck Orange Rush 35.5cl Celsius,"27,90 kr","0.355L 78,59 kr/l exkl pant",3.4 kcal,15 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,14 mg,,,,1.7 µg,0.6 mg,17 mg,0.5 mg,5.6 mg,2.8 mg,85 µg,14 µg,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-orange-rush-35-5cl-celsius/2125446
Bryggkaffe Mellanrost 450g Gevalia,"98,00 kr","0.45kg 217,78 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-mellanrost-450g-gevalia/1528809
Vatten Kolsyrad Citrus 50cl Ramlösa,"15,90 kr","0.5L 31,80 kr/l exkl pant",,,,,,,,,2 mg,16 mg,3.5 mg,2.3 mg,0.8 mg,210 mg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrad-citrus-50cl-raml%C3%B6sa/1511490
Juice Sommar Äpple Fläder 1000ml Bravo,"32,90 kr","1L 32,90 kr/l",45 kcal,180 kJ,0 g,0 g,9.5 g,9.5 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-sommar-%C3%A4pple-fl%C3%A4der-1000ml-bravo/2128876
Energidryck 25cl Euroshopper,"9,90 kr","0.25L 39,60 kr/l exkl pant",18 kcal,78 kJ,0 g,0 g,4 g,4 g,0 g,0.15 g,,,,,,,1 µg,0.56 mg,,0.56 mg,6.4 mg,2.4 mg,,,0 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-25cl-euroshopper/2095161
