Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Vitamin B12,Vitamin D,Kalcium,Varav fleromättat fett,Varav enkelomättat fett,Vitamin A,Fiber,Vitamin C,Riboflavin,Jod,Pantotensyra,Kalium,Klorid,Fosfor,Molybden,Vitamin K,Natrium,Vitamin E,Magnesium,Selen,Zink,Folsyra,Järn,Vitamin B6,Niacin,Biotin,Tiamin,Varav polyoler,url
Salladsost 200g ICA Basic,"28,90 kr","0.2kg 144,50 kr/kg",206 kcal,854 kJ,16 g,10 g,1.4 g,1.4 g,14 g,3.5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salladsost-200g-ica-basic/1411127
Fetaost Original 150g Fontana,"35,90 kr","0.15kg 239,33 kr/kg",278 kcal,1163 kJ,23 g,13.7 g,0.7 g,0.7 g,17 g,2.5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fetaost-original-150g-fontana/1368007
iMat Fraiche Original 15% 200ml Oatly,"22,90 kr","0.2L 114,50 kr/l",186 kcal,773 kJ,15 g,5.9 g,9.5 g,3.3 g,2 g,0.01 g,,,120 mg,,,,0.9 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/imat-fraiche-original-15-200ml-oatly/1471018
Messmör Original 5% 350g Fjällbrynt,"40,90 kr","0.35kg 116,86 kr/kg",260 kcal,1100 kJ,5 g,3.2 g,47 g,47 g,6.9 g,1.6 g,,,280 mg,,,,,,,,,,,,,,,,,,,,5 mg,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/messm%C3%B6r-original-5-350g-fj%C3%A4llbrynt/1362241
Ricotta 250g Zeta,"31,90 kr","0.25kg 127,60 kr/kg",133 kcal,552 kJ,10 g,7 g,3.7 g,3.4 g,7 g,0.43 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ricotta-250g-zeta/1395418
Munkens Svarta skivad ost 31% 150g Wästgöta Kloster,"47,90 kr","0.15kg 319,33 kr/kg",384 kcal,1594 kJ,31 g,20 g,0 g,0 g,25 g,1.2 g,1.4 µg,,756 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/munkens-svarta-skivad-ost-31-150g-w%C3%A4stg%C3%B6ta-kloster/1131582
Smör Normalsaltat 82% 500g ICA,"76,00 kr","0.5kg 152,00 kr/kg",750 kcal,3050 kJ,82 g,52 g,0.7 g,0.7 g,0.6 g,1.2 g,,,,1.6 g,19 g,725 µg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%B6r-normalsaltat-82-500g-ica/1396289
Lättdryck Svarta vinbär Koncentrat 2dl Kiviks,"10,90 kr","1L 10,90 kr/l drickklar",30 kcal,140 kJ,0 g,0 g,7.8 g,7.8 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4ttdryck-svarta-vinb%C3%A4r-koncentrat-2dl-kiviks/1023281
Havredryck Iskaffe Vanilj Glutenfri 1000ml Oddlygood®,"32,90 kr","1L 32,90 kr/l",58 kcal,246 kJ,1.5 g,0.2 g,9.9 g,5.7 g,1.3 g,0.13 g,0.4 µg,1 µg,120 mg,,,,,,0.21 mg,22.5 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-iskaffe-vanilj-glutenfri-1000ml-oddlygood/2151540
"Familjefavoriter Gouda ost mild ca 1,2kg Arla®",Ca,"Ca 1.2kg 146,00 kr/kg",354 kcal,1471 kJ,28 g,18 g,0 g,0 g,25 g,1.4 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/familjefavoriter-gouda-ost-mild-ca-1-2kg-arla/1455242
Yoghurt Mild Laktosfri 3% 1000g Arla Ko®,"30,90 kr","1kg 30,90 kr/kg",53 kcal,221 kJ,3 g,1.95 g,1.8 g,1.8 g,4 g,0.1 g,,1 µg,123 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-mild-laktosfri-3-1000g-arla-ko/2141617
Familjefavoriter Port salut mild 26% ca 750g Arla,Ca,"Ca 0.75kg 146,00 kr/kg",340 kcal,1411 kJ,26 g,17 g,0 g,0 g,25 g,1.6 g,1.4 µg,,751 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/familjefavoriter-port-salut-mild-26-ca-750g-arla/1455245
"Lättyoghurt Mild Vanilj 0,5% 1000g Arla Ko®","29,90 kr","1kg 29,90 kr/kg",58 kcal,244 kJ,0.5 g,0.3 g,8.6 g,8.6 g,4 g,0.09 g,,1 µg,121 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4ttyoghurt-mild-vanilj-0-5-1000g-arla-ko/2032491
Götene Hushållsost ca 500 g Arla,Ca,"Ca 0.5kg 188,00 kr/kg",343 kcal,1424 kJ,26 g,17 g,0 g,0 g,26 g,1.2 g,,,782 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/g%C3%B6tene-hush%C3%A5llsost-ca-500-g-arla/2128318
Smoothie Energise 300ml Innocent,"33,90 kr","0.3L 113,00 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-energise-300ml-innocent/2057765
Matyoghurt Turkisk Laktosfri 10% 1000g Arla Ko®,"53,00 kr","1kg 53,00 kr/kg",119 kcal,494 kJ,10 g,6.5 g,3.4 g,3.4 g,3.2 g,0.08 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/matyoghurt-turkisk-laktosfri-10-1000g-arla-ko/2107525
Kokos Saltad Karamell 340g Alpro,"51,00 kr","0.34kg 150,00 kr/kg",105 kcal,440 kJ,5.1 g,4.7 g,13.9 g,8.9 g,0.5 g,0.23 g,,,,,,,0 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kokos-saltad-karamell-340g-alpro/2151430
Proteinmilkshake Jordgubb 330ml Barebells,"33,90 kr","0.33L 102,73 kr/l",58 kcal,245 kJ,1.4 g,0.9 g,3.8 g,3.7 g,7.3 g,0.22 g,,,,,,,,,,,,,,,,,88 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinmilkshake-jordgubb-330ml-barebells/2005970
Ost mellanlagrad Meja 31% ca 750g ICA,Ca,"Ca 0.75kg 175,00 kr/kg",380 kcal,1600 kJ,31 g,20 g,0 g,0 g,26 g,1.2 g,,,710 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ost-mellanlagrad-meja-31-ca-750g-ica/2126955
Tomatjuice 1l Kiviks,"38,90 kr","1L 38,90 kr/l",25 kcal,100 kJ,0.1 g,0 g,3.7 g,3.7 g,1 g,0.3 g,,,,,,,1.2 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tomatjuice-1l-kiviks/1421975
Smoothie Kraft Tropiska frukter 300ml Brämhults,"36,90 kr","0.3L 123,00 kr/l exkl pant",54 kcal,230 kJ,0 g,0 g,12 g,11 g,0.7 g,0.01 g,,2.5 µg,,,,,1 g,80 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-kraft-tropiska-frukter-300ml-br%C3%A4mhults/2063054
Havredryck 1% 1l ICA Basic,"15,90 kr","1L 15,90 kr/l",44 kcal,185 kJ,1 g,0.1 g,7.6 g,2.5 g,0.8 g,0.1 g,0.38 µg,1 µg,120 mg,,,,,,0.21 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-1-1l-ica-basic/2157295
"Proteinkvarg Blåbär Laktosfri 0,2% 200g Arla®","21,90 kr","0.2kg 109,50 kr/kg",71 kcal,302 kJ,0.2 g,0.1 g,6.4 g,6 g,10 g,0.11 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinkvarg-bl%C3%A5b%C3%A4r-laktosfri-0-2-200g-arla/2151766
"Havredryck Ekologisk 0,5% 1l Oatly","26,90 kr","1L 26,90 kr/l",39 kcal,166 kJ,0.5 g,0.1 g,7.2 g,3.4 g,1.1 g,0.1 g,,1.1 µg,,,,,0.8 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-ekologisk-0-5-1l-oatly/1475744
Havredryck Matcha 1000ml Oatly,"39,90 kr","1L 39,90 kr/l",68 kcal,285 kJ,2.8 g,0.3 g,7.8 g,4.5 g,1.1 g,0.15 g,,,120 mg,,,,1 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-matcha-1000ml-oatly/2171390
"Vaniljyoghurt Lätt 0,5% 1000g ICA","26,90 kr","1kg 26,90 kr/kg",56 kcal,236 kJ,0.5 g,0.5 g,7.8 g,7.4 g,3.7 g,0.1 g,,0.9 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vaniljyoghurt-l%C3%A4tt-0-5-1000g-ica/1520804
Fruktdryck Sunny Orange Sockerfri 1000ml Lowcaly,"29,90 kr","1L 29,90 kr/l exkl pant",6 kcal,24 kJ,0 g,0 g,0.5 g,0.5 g,0 g,0.07 g,0.25 µg,0.5 µg,,,,80 µg,,30 mg,,,0.6 mg,,,,,,,,,,,,,0.14 mg,1.6 mg,5 µg,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-sunny-orange-sockerfri-1000ml-lowcaly/2128866
Ost Riven Folke 150g ICA,"36,90 kr","0.15kg 246,00 kr/kg",380 kcal,1600 kJ,30 g,19 g,2.8 g,0 g,25 g,1.2 g,,,690 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ost-riven-folke-150g-ica/2021349
Vaniljyoghurt 2% 1000g ICA,"26,90 kr","1kg 26,90 kr/kg",80 kcal,320 kJ,2 g,1.3 g,10 g,10 g,3.6 g,0.1 g,,0.9 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vaniljyoghurt-2-1000g-ica/1520803
Yoghurt Original Citron 2% 1000g Yoggi®,"36,90 kr","1kg 36,90 kr/kg",77 kcal,325 kJ,2 g,1.3 g,11 g,10 g,3.3 g,0.11 g,,0.93 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-original-citron-2-1000g-yoggi/2080487
Bredbar Vegansk Ekologisk 225g Naturli',"35,90 kr","0.225kg 159,56 kr/kg",681 kcal,2801 kJ,75 g,26 g,0.5 g,0.5 g,0.5 g,0.9 g,,,,16 g,33 g,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bredbar-vegansk-ekologisk-225g-naturli/2013730
Smoothie Vitamin Blåbär Hallon 850ml Brämhults,"62,00 kr","0.85L 72,94 kr/l exkl pant",54 kcal,226 kJ,0 g,0 g,12 g,11 g,0.6 g,0.01 g,,,,,,,1 g,85 mg,,,,,,,,,,1.8 mg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-vitamin-bl%C3%A5b%C3%A4r-hallon-850ml-br%C3%A4mhults/2062854
Juice Apelsin Ananas Ingefära Gurkmeja 850ml Brämhults,"64,00 kr","0.85L 75,29 kr/l exkl pant",41 kcal,173 kJ,0 g,0 g,9.3 g,8.9 g,0.5 g,0 g,,,,,,,,30 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-apelsin-ananas-ingef%C3%A4ra-gurkmeja-850ml-br%C3%A4mhults/2062832
"Kvarg Vaniljsmak 0,2% 900g Lindahls","54,00 kr","0.9kg 60,00 kr/kg",60 kcal,240 kJ,0.2 g,0 g,3.5 g,3.2 g,10 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kvarg-vaniljsmak-0-2-900g-lindahls/2023874
"Vispgrädde 36% Längre hållbarhet 2,5dl ICA","22,90 kr","0.25L 91,60 kr/l",346 kcal,1427 kJ,36 g,23 g,3.2 g,3.2 g,2.4 g,0.06 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vispgr%C3%A4dde-36-l%C3%A4ngre-h%C3%A5llbarhet-2-5dl-ica/1528023
Cream cheese Vitlök & örter 200g ICA,"27,90 kr","0.2kg 139,50 kr/kg",240 kcal,1000 kJ,23 g,15 g,3 g,2.9 g,5 g,1.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cream-cheese-vitl%C3%B6k-%C3%B6rter-200g-ica/1023431
Ägg Frigående M/L 10-p ICA,"41,90 kr","10 per frp 4,19 kr/st",137 kcal,575 kJ,9.7 g,2.6 g,0.4 g,0 g,12.3 g,0.36 g,1.5 µg,1.4 µg,,,,233 µg,,,0.5 mg,28.6 µg,,,,,,,,5.6 mg,,22.7 µg,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4gg-frig%C3%A5ende-m-l-10-p-ica/1466333
Halloumi Grillost Laktosfri 150g Zeta,"44,90 kr","0.15kg 299,33 kr/kg",320 kcal,1329 kJ,24 g,15 g,2.6 g,2.6 g,23 g,2.6 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/halloumi-grillost-laktosfri-150g-zeta/1442136
Shot Ginger 450ml God Morgon®,"52,00 kr","0.45L 115,56 kr/l",41 kcal,173 kJ,0.5 g,0 g,9.6 g,8.8 g,0.2 g,0.01 g,,0.7 µg,,,,,0 g,40 mg,,,,,,,,,,2.5 mg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/shot-ginger-450ml-god-morgon/2101424
Ost Parveggio Riven Vegansk 100g Green Vie,"36,90 kr","0.1kg 369,00 kr/kg",333 kcal,1386 kJ,22.7 g,20 g,32 g,0 g,0.1 g,2.9 g,2.54 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ost-parveggio-riven-vegansk-100g-green-vie/2027165
Fruktdryck Svartvinbär 1l Proviva,"43,90 kr","1L 43,90 kr/l",46 kcal,192 kJ,0.1 g,0 g,10.6 g,9.9 g,0.1 g,0.03 g,,,,,,,0.5 g,35 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-svartvinb%C3%A4r-1l-proviva/2038975
Havredryck Dumle Barista 1000ml Fazer Aito,"22,90 kr","1L 22,90 kr/l",65 kcal,276 kJ,2.6 g,0.2 g,9.6 g,4.8 g,0.9 g,0.1 g,0.38 µg,1 µg,120 mg,,,,,,0.21 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-dumle-barista-1000ml-fazer-aito/2169085
Apelsinjuice Nypressad 850ml Brämhults,"60,00 kr","0.85L 70,59 kr/l exkl pant",43 kcal,182 kJ,0 g,0 g,9 g,9 g,0.7 g,0 g,,,,,,,0.7 g,45 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/apelsinjuice-nypressad-850ml-br%C3%A4mhults/2062845
Ärtdryck Barista Zero 1l Sproud,"26,90 kr","1L 26,90 kr/l",30 kcal,140 kJ,3 g,0.2 g,0 g,0 g,2 g,0.13 g,0.38 µg,1 µg,120 mg,,,,,,0.21 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4rtdryck-barista-zero-1l-sproud/2024983
"Yoghurt Mild Naturlig fetthalt 3,8-4,5% Ekologisk 1000g Arla Ko®","28,90 kr","1kg 28,90 kr/kg",65 kcal,280 kJ,4 g,2.6 g,3.8 g,3.8 g,3.4 g,0.1 g,,,120 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-mild-naturlig-fetthalt-3-8-4-5-ekologisk-1000g-arla-ko/2032854
Havredryck Barista Glutenfri 3% 1l Oddlygood®,"24,90 kr","1L 24,90 kr/l",58 kcal,244 kJ,3 g,0.3 g,6.6 g,3.5 g,1.2 g,0.1 g,0.4 µg,1 µg,120 mg,,,,0.4 g,,0.21 mg,22.5 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-barista-glutenfri-3-1l-oddlygood/2044852
Smoothie Berry Antioxidant 300ml Innocent,"33,90 kr","0.3L 113,00 kr/l",197 kcal,47 kJ,0.5 g,0.1 g,11 g,9.1 g,0.5 g,0.01 g,,,,,,,1.3 g,15 mg,0.38 mg,,,,,,,,,3.4 mg,,,,,,0.36 mg,4 mg,,0.32 mg,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-berry-antioxidant-300ml-innocent/2101426
Blue cheese vegan Glutenfri Laktosfri 200g Green Vie,"43,90 kr","0.2kg 219,50 kr/kg",293 kcal,1224 kJ,24 g,21 g,19 g,0 g,0.5 g,2.5 g,2.5 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/blue-cheese-vegan-glutenfri-laktosfri-200g-green-vie/2045081
Fruktdryck Mango 1l Rubicon,"32,90 kr","1L 32,90 kr/l",61 kcal,258 kJ,0.5 g,0.5 g,13 g,13 g,0.5 g,0.01 g,,,,,,,,30 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-mango-1l-rubicon/2025688
Juice Jordgubb Lime 850ml Brämhults,"54,00 kr","0.85L 63,53 kr/l exkl pant",40 kcal,167 kJ,0 g,0 g,9.3 g,9.3 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-jordgubb-lime-850ml-br%C3%A4mhults/2062831
"Cottage Cheese Ananas Passion 2,9% 500g Keso","48,90 kr","0.5kg 97,80 kr/kg",100 kcal,410 kJ,2.9 g,1.9 g,5.7 g,4.9 g,12 g,0.8 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cottage-cheese-ananas-passion-2-9-500g-keso/2080545
Kombucha Äpple 330ml Humm,"31,90 kr","0.33L 96,67 kr/l exkl pant",18 kcal,75 kJ,0 g,0 g,5 g,3 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kombucha-%C3%A4pple-330ml-humm/2118391
Gräddalternativ Mat 15% Laktosfri 250ml Flora,"15,90 kr","0.25L 63,60 kr/l",149 kcal,618 kJ,15 g,4.9 g,2.5 g,1.2 g,0.8 g,0.22 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddalternativ-mat-15-laktosfri-250ml-flora/2107641
"Drickyoghurt Yalla Mango Banan Apelsin 0,5% 350ml Yoggi®","24,90 kr","0.35L 71,14 kr/l",51 kcal,216 kJ,0.5 g,0.3 g,8 g,7.6 g,3.2 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/drickyoghurt-yalla-mango-banan-apelsin-0-5-350ml-yoggi/1506053
Präst 12 mån 670g Allerum,"159,00 kr","0.67kg 237,31 kr/kg",400 kcal,1700 kJ,35 g,22 g,0 g,0 g,22 g,1.2 g,1.4 µg,,660 mg,,,320 µg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pr%C3%A4st-12-m%C3%A5n-670g-allerum/2112718
"Yoghurt Skogsbär 0,1% 1000g Valio","27,90 kr","1kg 27,90 kr/kg",66 kcal,280 kJ,0.1 g,0 g,12 g,12 g,3.7 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-skogsb%C3%A4r-0-1-1000g-valio/1024450
Riven ost original veggie 150g Oddlygood®,"30,90 kr","0.15kg 206,00 kr/kg",298 kcal,1236 kJ,24 g,14 g,21 g,0 g,1 g,2.3 g,1.7 µg,4 µg,0 mg,1.2 g,7.4 g,,2 g,,0.9 mg,87 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/riven-ost-original-veggie-150g-oddlygood/2041872
Proteindryck Strawberry Recovery 250ml Gainomax,"28,90 kr","0.25L 115,60 kr/l",96 kcal,408 kJ,0.5 g,0.1 g,15 g,8.3 g,8 g,0.19 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteindryck-strawberry-recovery-250ml-gainomax/2149790
"Drickkvarg Mango & Vanilj Laktosfri 0,1% 350ml Yalla®","24,90 kr","0.35L 71,14 kr/l",50 kcal,200 kJ,0.1 g,0.1 g,4.7 g,4.1 g,5.9 g,0.11 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/drickkvarg-mango-vanilj-laktosfri-0-1-350ml-yalla/2058109
"Proteinshake Choklad Laktosfri 1,5% 250ml Valio PROfeel®","21,90 kr","0.25L 87,60 kr/l",74 kcal,313 kJ,1.6 g,1 g,4.7 g,4.3 g,10 g,0.18 g,,2 µg,280 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinshake-choklad-laktosfri-1-5-250ml-valio-profeel/2080559
Lätt Crème fraiche Tomat & Basilika 11% 2dl Arla Köket®,"24,90 kr","0.2L 124,50 kr/l",140 kcal,600 kJ,11 g,7.1 g,6.2 g,4.5 g,3.3 g,1.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4tt-cr%C3%A8me-fraiche-tomat-basilika-11-2dl-arla-k%C3%B6ket/1201451
Halloumiburgare 4 Skivor 200g ICA,"51,00 kr","0.2kg 255,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/halloumiburgare-4-skivor-200g-ica/1455663
"Hushållsost mild 26% ca 1,1kg ICA",Ca,"Ca 1.1kg 137,00 kr/kg",330 kcal,1400 kJ,26 g,17 g,0 g,0 g,24 g,1.6 g,1.6 µg,,770 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hush%C3%A5llsost-mild-26-ca-1-1kg-ica/2000634
Lättmargarin Omega 3 38% 600g Becel,"42,90 kr","0.6kg 71,50 kr/kg",348 kcal,1425 kJ,38 g,8.8 g,1.1 g,0 g,0 g,1 g,,20 µg,,12 g,17 g,800 µg,,,,,,,,,,,,,,,,,,,,,0.83 mg,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4ttmargarin-omega-3-38-600g-becel/2044809
"Havremellanmål Proteingurt Berries Glutenfri 1,7% 400g Oddlygood®","31,90 kr","0.4kg 79,75 kr/kg",91 kcal,377 kJ,1.7 g,0.7 g,13 g,8 g,4.8 g,0.07 g,0.4 µg,1 µg,120 mg,,,,,,0.21 mg,22.5 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havremellanm%C3%A5l-proteingurt-berries-glutenfri-1-7-400g-oddlygood/2151546
Lättdryck Björnbär & hallon Koncentrat 2dl BOB,"11,90 kr","1L 11,90 kr/l drickklar",30 kcal,110 kJ,0 g,0 g,6.5 g,6.4 g,0 g,0 g,,,,,,,,12 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4ttdryck-bj%C3%B6rnb%C3%A4r-hallon-koncentrat-2dl-bob/1128041
Gräddfil Laktosfri 10% 3dl Arla Ko®,"20,90 kr","0.3L 69,67 kr/l",119 kcal,495 kJ,10 g,6.5 g,3.4 g,3.4 g,3.2 g,0.08 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddfil-laktosfri-10-3dl-arla-ko/2075552
Filmjölk Laktosfri 3% 1l ICA,"30,90 kr","1kg 30,90 kr/kg",55 kcal,220 kJ,3 g,1.9 g,2.4 g,2.4 g,3.4 g,,,,120 mg,0.07 g,0.7 g,,0 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/filmj%C3%B6lk-laktosfri-3-1l-ica/1407324
Mellanmål Soygurt Naturell Ekologisk 750g Oddlygood®,"42,90 kr","0.75kg 57,20 kr/kg",53 kcal,222 kJ,2.2 g,0.3 g,3.8 g,2.2 g,4.1 g,0.15 g,,1 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mellanm%C3%A5l-soygurt-naturell-ekologisk-750g-oddlygood/2134400
Smältost 8p Den skrattande kon,"30,90 kr","0.133kg 232,33 kr/kg",228 kcal,945 kJ,17.5 g,11.5 g,6 g,6 g,11.5 g,1.7 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%A4ltost-8p-den-skrattande-kon/2106962
"Proteinmilkshake Strawberry n' Cream ProPud Laktosfri 1,5% 330ml NIJE","26,90 kr","0.33L 81,52 kr/l",58 kcal,243 kJ,1.5 g,0.9 g,4.9 g,4.9 g,6.1 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinmilkshake-strawberry-n-cream-propud-laktosfri-1-5-330ml-nije/2039014
Lättdryck Lingon & tranbär Koncentrat 2dl BOB,"11,90 kr","1L 11,90 kr/l drickklar",30 kcal,120 kJ,0 g,0 g,6.7 g,6.6 g,0 g,0 g,,,,,,,,12 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4ttdryck-lingon-tranb%C3%A4r-koncentrat-2dl-bob/1300059
Jarlsberg 27% 500g Wernersson Ost,"106,00 kr","0.5kg 212,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/jarlsberg-27-500g-wernersson-ost/1410639
Smoothie Hallon Jordgubb & blåbär 1l Bravo,"49,90 kr","1L 49,90 kr/l",50 kcal,200 kJ,0 g,0 g,10 g,9.9 g,0.6 g,0 g,,,,,,,0.9 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-hallon-jordgubb-bl%C3%A5b%C3%A4r-1l-bravo/2000622
