Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Fiber,Protein,Salt,Varav polyoler,Vitamin B12,Vitamin D,Folsyra,Selen,Vitamin A,Natrium,Kalcium,Järn,Material,Varav fleromättat fett,Varav enkelomättat fett,Vitamin C,Riboflavin,url
Penne con mozzarella Måltid Fryst 380g Felix,"63,00 kr","0.38kg 165,79 kr/kg",133 kcal,555 kJ,3.7 g,2 g,19 g,2.3 g,,5.1 g,0.74 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/penne-con-mozzarella-m%C3%A5ltid-fryst-380g-felix/1384078
Kycklingnuggets Fryst 440g Max,"76,00 kr","0.44kg 172,73 kr/kg",180 kcal,750 kJ,8.3 g,1.2 g,14 g,0.5 g,,13 g,1.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklingnuggets-fryst-440g-max/1475814
Stenugnsbakad pizza Salami Fryst 350g ICA,"41,90 kr","0.35kg 119,71 kr/kg",240 kcal,1008 kJ,8.7 g,3.2 g,30 g,5 g,2.4 g,9.7 g,1.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/stenugnsbakad-pizza-salami-fryst-350g-ica/1453908
Panpizza Hawaii Fryst 170g Billys,"18,90 kr","0.17kg 111,18 kr/kg",250 kcal,1050 kJ,9.3 g,3.7 g,30 g,2.4 g,1.6 g,11 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/panpizza-hawaii-fryst-170g-billys/1006333
Gräddglass Juni Laktosfri Glutenfri 6-p 780ml SIA Glass,"59,00 kr","6 per frp 9,83 kr/st",300 kcal,1250 kJ,14 g,10 g,39 g,24 g,0 g,3.6 g,0.1 g,0 g,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-juni-laktosfri-glutenfri-6-p-780ml-sia-glass/1509554
Mandeltårta Glutenfri Fryst 400g Almondy,"75,00 kr","0.4kg 187,50 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mandelt%C3%A5rta-glutenfri-fryst-400g-almondy/1345327
Pinsabotten Glutenfri 180g Zeta,"61,00 kr","0.18kg 338,89 kr/kg",220 kcal,979 kJ,6.3 g,0.7 g,40 g,2 g,3.7 g,2.2 g,1.8 g,,,,,,,0.72 g,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pinsabotten-glutenfri-180g-zeta/2154355
Delikatessbullar Vegetariska 340g Felix,"60,00 kr","0.34kg 176,47 kr/kg",213 kcal,891 kJ,13 g,1.1 g,8.7 g,1.5 g,4.2 g,11 g,1.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/delikatessbullar-vegetariska-340g-felix/2077776
Kålpudding 400g Dafgård,"41,90 kr","0.4kg 104,75 kr/kg",99 kcal,415 kJ,5 g,1.9 g,8.4 g,3.7 g,1.5 g,4.4 g,0.97 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/k%C3%A5lpudding-400g-dafg%C3%A5rd/2093865
Cheesecake Naturell Fryst 400g ICA,"80,00 kr","0.4kg 200,00 kr/kg",330 kcal,1350 kJ,19 g,8.8 g,33 g,21 g,0.4 g,5.1 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cheesecake-naturell-fryst-400g-ica/1470892
Mango Fryst 250g ICA,"28,90 kr","0.25kg 115,60 kr/kg",65 kcal,280 kJ,0.5 g,0.1 g,15.5 g,14.6 g,1.7 g,0.5 g,,,,,,,,0.002 g,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mango-fryst-250g-ica/1244475
Korvbröd Glutenfria 5-p,"40,90 kr","0.21kg 194,76 kr/kg",290 kcal,1200 kJ,5.3 g,0.8 g,57 g,8 g,4 g,0.6 g,1.4 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/korvbr%C3%B6d-glutenfria-5-p/2131019
Gammaldags gräddglass Äkta vanilj 1.75L Triumf Glass,"39,00 kr","1.75L 22,29 kr/l",180 kcal,800 kJ,9.8 g,6.5 g,22 g,22 g,,3.1 g,0.19 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gammaldags-gr%C3%A4ddglass-%C3%A4kta-vanilj-1-75l-triumf-glass/2101620
Pizza Stenugnsbakad X-tra Allt Mozzarella & Pesto 350g Grandiosa,"60,00 kr","0.35kg 171,43 kr/kg",259 kcal,1085 kJ,12 g,4.7 g,26 g,2 g,,11 g,0.89 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizza-stenugnsbakad-x-tra-allt-mozzarella-pesto-350g-grandiosa/2054839
Glass Mini tip top 6-pack GB Glace,"61,00 kr","6 per frp 10,17 kr/st",381 kcal,1621 kJ,23 g,15 g,40 g,27 g,,4 g,0.16 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-mini-tip-top-6-pack-gb-glace/1295908
KorvStroganoff 400g Dafgård,"41,90 kr","0.4kg 104,75 kr/kg",157 kcal,658 kJ,8.8 g,3.9 g,15 g,1.1 g,0.8 g,3.9 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/korvstroganoff-400g-dafg%C3%A5rd/2093873
Fish nuggets 480g Pacific brand,"43,90 kr","0.48kg 91,46 kr/kg",208 kcal,874 kJ,7.4 g,0.8 g,26 g,0.7 g,0.4 g,9.1 g,0.8 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fish-nuggets-480g-pacific-brand/2119177
Krämig kyckling med soltorkad tomat 380g Felix,"63,00 kr","0.38kg 165,79 kr/kg",95 kcal,398 kJ,3 g,1.4 g,12 g,1.9 g,,4.6 g,0.9 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kr%C3%A4mig-kyckling-med-soltorkad-tomat-380g-felix/2154604
Glass Snickers Creamy 1-p Mars,"31,90 kr",,349 kcal,1457 kJ,21 g,10 g,34 g,26 g,,5.7 g,0.29 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-snickers-creamy-1-p-mars/2154464
Släta bullar 4-p 240g Hans och greta,"44,90 kr","0.24kg 187,08 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sl%C3%A4ta-bullar-4-p-240g-hans-och-greta/1500796
"Gräddglass Hasselnöt 0,5l Triumf Glass","24,90 kr","0.5L 49,80 kr/l",260 kcal,1100 kJ,16 g,6.6 g,27 g,25 g,,2.8 g,0.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-hasseln%C3%B6t-0-5l-triumf-glass/1476328
Glass Favorites Texas Pecan 825ml GB Glace,"47,90 kr","0.825L 58,06 kr/l",216 kcal,905 kJ,8.8 g,6.2 g,31 g,25 g,0.5 g,2.6 g,0.12 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-favorites-texas-pecan-825ml-gb-glace/2130395
Wok Kyckling sweet chili teriyaki Fryst 320g ICA,"43,90 kr","0.32kg 137,19 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/wok-kyckling-sweet-chili-teriyaki-fryst-320g-ica/1490114
Pizza X-tra allt Gudfadern 350g Grandiosa,"60,00 kr","0.35kg 171,43 kr/kg",238 kcal,996 kJ,11 g,4.2 g,24 g,1.4 g,,10 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizza-x-tra-allt-gudfadern-350g-grandiosa/1528762
Svenska Schnitzlar 600g Scan,"85,00 kr","0.6kg 141,67 kr/kg",230 kcal,950 kJ,13 g,4.8 g,12 g,2.3 g,,15 g,1.4 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/svenska-schnitzlar-600g-scan/2101400
Pizza Ristorante Prosciutto Fryst 340g Dr. Oetker,"48,90 kr","0.34kg 143,82 kr/kg",224 kcal,938 kJ,9.3 g,2.8 g,24 g,2.7 g,2.1 g,10 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizza-ristorante-prosciutto-fryst-340g-dr-oetker/2093807
Gräddglass Vanilj 900ml ICA,"46,90 kr","0.9L 52,11 kr/l",200 kcal,850 kJ,12 g,7.5 g,23 g,20 g,,3 g,0.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-vanilj-900ml-ica/1318967
Glass Vanilj & lakrits 900ml ICA,"46,90 kr","0.9L 52,11 kr/l",240 kcal,1000 kJ,13 g,6.6 g,30 g,27 g,,2.4 g,0.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-vanilj-lakrits-900ml-ica/1427572
Svensk Ärtfalafel 400g Peas of Heaven,"42,90 kr","0.4kg 107,25 kr/kg",250 kcal,1060 kJ,13 g,1.1 g,22 g,1.7 g,5.3 g,9.5 g,1.9 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/svensk-%C3%A4rtfalafel-400g-peas-of-heaven/2130836
Sötpotatis strips Fryst 500g ICA,"49,90 kr","0.5kg 99,80 kr/kg",150 kcal,630 kJ,6.5 g,0.8 g,23 g,4.6 g,2.7 g,1.5 g,0.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/s%C3%B6tpotatis-strips-fryst-500g-ica/1527682
Färdigmat Pan pizza Pepperoni 570g Grandiosa,"85,00 kr","0.57kg 149,12 kr/kg",206 kcal,867 kJ,7.1 g,3.1 g,25 g,2.3 g,,9.9 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rdigmat-pan-pizza-pepperoni-570g-grandiosa/2025047
Färdigmat Fisk med topping potatismos & ärtor Fryst 390g Findus,"44,90 kr","0.39kg 115,13 kr/kg",150 kcal,626 kJ,7.4 g,2.6 g,14 g,1.9 g,1.7 g,5.9 g,0.81 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rdigmat-fisk-med-topping-potatismos-%C3%A4rtor-fryst-390g-findus/2025023
Dulce De-Lish 427ml Ben & Jerrys,"84,00 kr","0.427L 196,72 kr/l",263 kcal,1102 kJ,14 g,9.6 g,31 g,26 g,,3.3 g,0.4 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dulce-de-lish-427ml-ben-jerrys/2109034
Grill spice chunk 280g Oumph,"55,00 kr","0.28kg 196,43 kr/kg",120 kcal,501 kJ,4 g,0.4 g,2.2 g,1.4 g,5.5 g,16 g,1.6 g,,,,49.4 µg,,,,,3 mg,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grill-spice-chunk-280g-oumph/2094010
Glass Sandwich 100ml GB Glace,"22,90 kr",,187 kcal,785 kJ,7.3 g,6.7 g,27 g,16 g,,3.1 g,0.29 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-sandwich-100ml-gb-glace/1006545
Raspberry Licorice 1-p Kingis,"22,90 kr",,322 kcal,1345 kJ,21 g,12 g,31 g,29 g,,2.2 g,0.17 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/raspberry-licorice-1-p-kingis/2108942
Fisknuggets glutenfria 270g ICA,"41,90 kr","0.27kg 155,19 kr/kg",196 kcal,823 kJ,8 g,0.8 g,18 g,0.5 g,,13 g,0.73 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fisknuggets-glutenfria-270g-ica/2106710
